Date,Oil_Price,Shock_Type,Shock_Magnitude,Oil_Return,Shock_Level,Year,Month,Sector,Return,Inflation,GDP,Interest_Rate
01-01-2018,71.4,Demand Shock,8,,Low,2018,1,Energy,10.27,5.19,-1.36,7.7
01-01-2018,71.4,Demand Shock,8,,Low,2018,1,Airlines,1.41,5.19,-1.36,7.7
01-01-2018,71.4,Demand Shock,8,,Low,2018,1,Transport,13.24,5.19,-1.36,7.7
01-01-2018,71.4,Demand Shock,8,,Low,2018,1,Manufacturing,-12.77,5.19,-1.36,7.7
01-02-2018,69.12,Normal,59,-3.193277311,High,2018,2,Energy,-2.35,7.64,0.95,6.3
01-02-2018,69.12,Normal,59,-3.193277311,High,2018,2,Airlines,9.41,7.64,0.95,6.3
01-02-2018,69.12,Normal,59,-3.193277311,High,2018,2,Transport,10.35,7.64,0.95,6.3
01-02-2018,69.12,Normal,59,-3.193277311,High,2018,2,Manufacturing,-4.11,7.64,0.95,6.3
01-03-2018,71.29,Supply Shock,2,3.139467593,Low,2018,3,Energy,-4.08,6.81,-1.19,6.67
01-03-2018,71.29,Supply Shock,2,3.139467593,Low,2018,3,Airlines,2.88,6.81,-1.19,6.67
01-03-2018,71.29,Supply Shock,2,3.139467593,Low,2018,3,Transport,15.33,6.81,-1.19,6.67
01-03-2018,71.29,Supply Shock,2,3.139467593,Low,2018,3,Manufacturing,28.88,6.81,-1.19,6.67
01-04-2018,68.09,Normal,-33,-4.488708094,Medium,2018,4,Energy,5.94,6.34,2.39,5.43
01-04-2018,68.09,Normal,-33,-4.488708094,Medium,2018,4,Airlines,0.9,6.34,2.39,5.43
01-04-2018,68.09,Normal,-33,-4.488708094,Medium,2018,4,Transport,-4.64,6.34,2.39,5.43
01-04-2018,68.09,Normal,-33,-4.488708094,Medium,2018,4,Manufacturing,-6.45,6.34,2.39,5.43
01-05-2018,66.37,Demand Shock,-59,-2.526068439,High,2018,5,Energy,13.76,7.15,4.45,7.99
01-05-2018,66.37,Demand Shock,-59,-2.526068439,High,2018,5,Airlines,2.6,7.15,4.45,7.99
01-05-2018,66.37,Demand Shock,-59,-2.526068439,High,2018,5,Transport,3.01,7.15,4.45,7.99
01-05-2018,66.37,Demand Shock,-59,-2.526068439,High,2018,5,Manufacturing,-13.88,7.15,4.45,7.99
01-06-2018,68.47,Normal,32,3.164080157,Medium,2018,6,Energy,-29.12,4.92,-1.29,7.85
01-06-2018,68.47,Normal,32,3.164080157,Medium,2018,6,Airlines,16.18,4.92,-1.29,7.85
01-06-2018,68.47,Normal,32,3.164080157,Medium,2018,6,Transport,17.63,4.92,-1.29,7.85
01-06-2018,68.47,Normal,32,3.164080157,Medium,2018,6,Manufacturing,-8.73,4.92,-1.29,7.85
01-07-2018,66.22,Normal,42,-3.286110705,High,2018,7,Energy,-3.63,5.35,2.99,3.9
01-07-2018,66.22,Normal,42,-3.286110705,High,2018,7,Airlines,17,5.35,2.99,3.9
01-07-2018,66.22,Normal,42,-3.286110705,High,2018,7,Transport,27.98,5.35,2.99,3.9
01-07-2018,66.22,Normal,42,-3.286110705,High,2018,7,Manufacturing,-6.88,5.35,2.99,3.9
01-08-2018,65.81,Normal,-40,-0.619148294,Medium,2018,8,Energy,13,5.99,3.94,7.61
01-08-2018,65.81,Normal,-40,-0.619148294,Medium,2018,8,Airlines,2.12,5.99,3.94,7.61
01-08-2018,65.81,Normal,-40,-0.619148294,Medium,2018,8,Transport,-3.61,5.99,3.94,7.61
01-08-2018,65.81,Normal,-40,-0.619148294,Medium,2018,8,Manufacturing,0.02,5.99,3.94,7.61
01-09-2018,65.05,Supply Shock,18,-1.15483969,Low,2018,9,Energy,0.97,3.35,3.03,5.82
01-09-2018,65.05,Supply Shock,18,-1.15483969,Low,2018,9,Airlines,13.2,3.35,3.03,5.82
01-09-2018,65.05,Supply Shock,18,-1.15483969,Low,2018,9,Transport,-13.25,3.35,3.03,5.82
01-09-2018,65.05,Supply Shock,18,-1.15483969,Low,2018,9,Manufacturing,-6.52,3.35,3.03,5.82
01-10-2018,63.78,Demand Shock,52,-1.95234435,High,2018,10,Energy,-5.11,7.68,4.66,5.87
01-10-2018,63.78,Demand Shock,52,-1.95234435,High,2018,10,Airlines,4.87,7.68,4.66,5.87
01-10-2018,63.78,Demand Shock,52,-1.95234435,High,2018,10,Transport,11.66,7.68,4.66,5.87
01-10-2018,63.78,Demand Shock,52,-1.95234435,High,2018,10,Manufacturing,-0.16,7.68,4.66,5.87
01-11-2018,61.62,Normal,-52,-3.38664158,High,2018,11,Energy,15.65,5.55,1.82,7.19
01-11-2018,61.62,Normal,-52,-3.38664158,High,2018,11,Airlines,8.05,5.55,1.82,7.19
01-11-2018,61.62,Normal,-52,-3.38664158,High,2018,11,Transport,2.93,5.55,1.82,7.19
01-11-2018,61.62,Normal,-52,-3.38664158,High,2018,11,Manufacturing,12.43,5.55,1.82,7.19
01-12-2018,59.87,Supply Shock,-17,-2.839987017,Low,2018,12,Energy,-1.7,7.04,4.67,3.1
01-12-2018,59.87,Supply Shock,-17,-2.839987017,Low,2018,12,Airlines,9.48,7.04,4.67,3.1
01-12-2018,59.87,Supply Shock,-17,-2.839987017,Low,2018,12,Transport,-17.53,7.04,4.67,3.1
