Date,Inflation,GDP,Interest_Rate
2018-01-01,5.19,-1.36,7.7
2018-02-01,7.64,0.95,6.3
2018-03-01,6.81,-1.19,6.67
2018-04-01,6.34,2.39,5.43
2018-05-01,7.15,4.45,7.99
2018-06-01,4.92,-1.29,7.85
2018-07-01,5.35,2.99,3.9
2018-08-01,5.99,3.94,7.61
2018-09-01,3.35,3.03,5.82
2018-10-01,7.68,4.66,5.87
2018-11-01,5.55,1.82,7.19
2018-12-01,7.04,4.67,3.1
2019-01-01,3.26,0.89,5.1
2019-02-01,2.22,1.11,3.62
2019-03-01,6.36,4.87,7.98
2019-04-01,5.62,4.55,5.58
2019-05-01,2.71,-2.1,3.4
2019-06-01,3.75,-2.46,3.76
2019-07-01,5.61,1.25,6.19
2019-08-01,7.95,-2.73,4.21
2019-09-01,3.34,4.5,4.28
2019-10-01,5.26,3.62,3.23
2019-11-01,5.99,-1.73,3.02
2019-12-01,2.01,3.39,3.31
2020-01-01,5.08,2.89,4.19
2020-02-01,6.26,4.38,5.2
2020-03-01,7.21,4.04,3.38
2020-04-01,7.47,3.69,6.05
2020-05-01,6.77,3.66,6.44
2020-06-01,2.68,2.03,5.28
2020-07-01,6.86,1.98,5.31
2020-08-01,5.71,-0.8,3.37
2020-09-01,3.57,-0.06,7.31
2020-10-01,6.38,0.97,7.5
2020-11-01,3.23,-2.35,6.66
2020-12-01,3.41,4.47,7.97
2021-01-01,5.48,0.55,3.91
2021-02-01,6.37,4.93,3.05
2021-03-01,4.43,-0.74,5.83
2021-04-01,4.98,-1.98,6.08
2021-05-01,2.87,2.56,6.53
2021-06-01,7.03,2.49,7.21
2021-07-01,2.63,0.11,7.87
2021-08-01,4.9,1.03,6.4
2021-09-01,6.47,-1.52,4.21
2021-10-01,6.28,0.65,3.84
2021-11-01,3.78,-2.43,7.09
2021-12-01,6.58,-0.64,5.37
2022-01-01,6.49,4.63,6.44
2022-02-01,7.06,4.05,7.05
2022-03-01,5.63,4.95,4.96
2022-04-01,4.94,-2.4,6.71
2022-05-01,3.73,3.34,4.73
2022-06-01,6.56,1.81,3.26
2022-07-01,2.97,-2.44,5.76
2022-08-01,3.25,3.38,3.84
2022-09-01,6.82,1.89,7.31
2022-10-01,6.42,4.54,4.03
2022-11-01,3.77,-2.71,7.08
2022-12-01,3.61,2.62,5.08
2023-01-01,3.72,-0.26,5.78
2023-02-01,7.22,-0.89,5.89
2023-03-01,5.99,2.4,7.34
2023-04-01,3.06,0.36,7.22
2023-05-01,4.23,0.59,3.58
2023-06-01,3.93,0.79,6.79
2023-07-01,7.53,4.65,3.36
2023-08-01,3.06,-0.13,4.64
2023-09-01,5.57,0.84,6.76
2023-10-01,2.54,1.88,4.85
2023-11-01,7.86,3.87,6.16
2023-12-01,7.57,4.73,3.96
2024-01-01,5.67,0.77,6.39
2024-02-01,2.22,2.39,6.65
2024-03-01,3.84,-0.8,6.81
2024-04-01,4.82,2.57,7.08
2024-05-01,4.64,2.29,4.99
2024-06-01,4.23,-0.17,5.83
2024-07-01,4.06,0.51,5.7
2024-08-01,7.2,1.01,3.17
2024-09-01,2.07,-0.39,3.09
2024-10-01,3.83,-1.31,7.74
2024-11-01,3.93,-2.73,6.23
2024-12-01,4.1,-1.58,5.44
