Date,Oil_Price,Shock_Type,Shock_Magnitude,Oil_Return,Shock_Level,Year,Month,Sector,Return,Inflation,GDP,Interest_Rate
2018-01-01,71.4,Demand Shock,8,,Low,2018,1,Energy,10.27,5.19,-1.36,7.7
2018-01-01,71.4,Demand Shock,8,,Low,2018,1,Airlines,1.41,5.19,-1.36,7.7
2018-01-01,71.4,Demand Shock,8,,Low,2018,1,Transport,13.24,5.19,-1.36,7.7
2018-01-01,71.4,Demand Shock,8,,Low,2018,1,Manufacturing,-12.77,5.19,-1.36,7.7
2018-02-01,69.12,Normal,59,-3.1932773109243695,High,2018,2,Energy,-2.35,7.64,0.95,6.3
2018-02-01,69.12,Normal,59,-3.1932773109243695,High,2018,2,Airlines,9.41,7.64,0.95,6.3
2018-02-01,69.12,Normal,59,-3.1932773109243695,High,2018,2,Transport,10.35,7.64,0.95,6.3
2018-02-01,69.12,Normal,59,-3.1932773109243695,High,2018,2,Manufacturing,-4.11,7.64,0.95,6.3
2018-03-01,71.29,Supply Shock,2,3.139467592592604,Low,2018,3,Energy,-4.08,6.81,-1.19,6.67
2018-03-01,71.29,Supply Shock,2,3.139467592592604,Low,2018,3,Airlines,2.88,6.81,-1.19,6.67
2018-03-01,71.29,Supply Shock,2,3.139467592592604,Low,2018,3,Transport,15.33,6.81,-1.19,6.67
2018-03-01,71.29,Supply Shock,2,3.139467592592604,Low,2018,3,Manufacturing,28.88,6.81,-1.19,6.67
2018-04-01,68.09,Normal,-33,-4.488708093701788,Medium,2018,4,Energy,5.94,6.34,2.39,5.43
2018-04-01,68.09,Normal,-33,-4.488708093701788,Medium,2018,4,Airlines,0.9,6.34,2.39,5.43
2018-04-01,68.09,Normal,-33,-4.488708093701788,Medium,2018,4,Transport,-4.64,6.34,2.39,5.43
2018-04-01,68.09,Normal,-33,-4.488708093701788,Medium,2018,4,Manufacturing,-6.45,6.34,2.39,5.43
2018-05-01,66.37,Demand Shock,-59,-2.526068438830953,High,2018,5,Energy,13.76,7.15,4.45,7.99
2018-05-01,66.37,Demand Shock,-59,-2.526068438830953,High,2018,5,Airlines,2.6,7.15,4.45,7.99
2018-05-01,66.37,Demand Shock,-59,-2.526068438830953,High,2018,5,Transport,3.01,7.15,4.45,7.99
2018-05-01,66.37,Demand Shock,-59,-2.526068438830953,High,2018,5,Manufacturing,-13.88,7.15,4.45,7.99
2018-06-01,68.47,Normal,32,3.164080156697291,Medium,2018,6,Energy,-29.12,4.92,-1.29,7.85
2018-06-01,68.47,Normal,32,3.164080156697291,Medium,2018,6,Airlines,16.18,4.92,-1.29,7.85
2018-06-01,68.47,Normal,32,3.164080156697291,Medium,2018,6,Transport,17.63,4.92,-1.29,7.85
2018-06-01,68.47,Normal,32,3.164080156697291,Medium,2018,6,Manufacturing,-8.73,4.92,-1.29,7.85
2018-07-01,66.22,Normal,42,-3.2861107054184324,High,2018,7,Energy,-3.63,5.35,2.99,3.9
2018-07-01,66.22,Normal,42,-3.2861107054184324,High,2018,7,Airlines,17.0,5.35,2.99,3.9
2018-07-01,66.22,Normal,42,-3.2861107054184324,High,2018,7,Transport,27.98,5.35,2.99,3.9
2018-07-01,66.22,Normal,42,-3.2861107054184324,High,2018,7,Manufacturing,-6.88,5.35,2.99,3.9
2018-08-01,65.81,Normal,-40,-0.6191482935668957,Medium,2018,8,Energy,13.0,5.99,3.94,7.61
2018-08-01,65.81,Normal,-40,-0.6191482935668957,Medium,2018,8,Airlines,2.12,5.99,3.94,7.61
2018-08-01,65.81,Normal,-40,-0.6191482935668957,Medium,2018,8,Transport,-3.61,5.99,3.94,7.61
2018-08-01,65.81,Normal,-40,-0.6191482935668957,Medium,2018,8,Manufacturing,0.02,5.99,3.94,7.61
2018-09-01,65.05,Supply Shock,18,-1.154839690016718,Low,2018,9,Energy,0.97,3.35,3.03,5.82
2018-09-01,65.05,Supply Shock,18,-1.154839690016718,Low,2018,9,Airlines,13.2,3.35,3.03,5.82
2018-09-01,65.05,Supply Shock,18,-1.154839690016718,Low,2018,9,Transport,-13.25,3.35,3.03,5.82
2018-09-01,65.05,Supply Shock,18,-1.154839690016718,Low,2018,9,Manufacturing,-6.52,3.35,3.03,5.82
2018-10-01,63.78,Demand Shock,52,-1.952344350499613,High,2018,10,Energy,-5.11,7.68,4.66,5.87
2018-10-01,63.78,Demand Shock,52,-1.952344350499613,High,2018,10,Airlines,4.87,7.68,4.66,5.87
2018-10-01,63.78,Demand Shock,52,-1.952344350499613,High,2018,10,Transport,11.66,7.68,4.66,5.87
2018-10-01,63.78,Demand Shock,52,-1.952344350499613,High,2018,10,Manufacturing,-0.16,7.68,4.66,5.87
2018-11-01,61.62,Normal,-52,-3.3866415804327477,High,2018,11,Energy,15.65,5.55,1.82,7.19
2018-11-01,61.62,Normal,-52,-3.3866415804327477,High,2018,11,Airlines,8.05,5.55,1.82,7.19
2018-11-01,61.62,Normal,-52,-3.3866415804327477,High,2018,11,Transport,2.93,5.55,1.82,7.19
2018-11-01,61.62,Normal,-52,-3.3866415804327477,High,2018,11,Manufacturing,12.43,5.55,1.82,7.19
2018-12-01,59.87,Supply Shock,-17,-2.8399870172022057,Low,2018,12,Energy,-1.7,7.04,4.67,3.1
2018-12-01,59.87,Supply Shock,-17,-2.8399870172022057,Low,2018,12,Airlines,9.48,7.04,4.67,3.1
2018-12-01,59.87,Supply Shock,-17,-2.8399870172022057,Low,2018,12,Transport,-17.53,7.04,4.67,3.1
2018-12-01,59.87,Supply Shock,-17,-2.8399870172022057,Low,2018,12,Manufacturing,-0.22,7.04,4.67,3.1
2019-01-01,56.95,Normal,45,-4.877234007015185,High,2019,1,Energy,0.02,3.26,0.89,5.1
2019-01-01,56.95,Normal,45,-4.877234007015185,High,2019,1,Airlines,10.78,3.26,0.89,5.1
2019-01-01,56.95,Normal,45,-4.877234007015185,High,2019,1,Transport,-32.99,3.26,0.89,5.1
2019-01-01,56.95,Normal,45,-4.877234007015185,High,2019,1,Manufacturing,13.01,3.26,0.89,5.1
2019-02-01,58.29,Normal,57,2.35294117647058,High,2019,2,Energy,16.98,2.22,1.11,3.62
2019-02-01,58.29,Normal,57,2.35294117647058,High,2019,2,Airlines,15.29,2.22,1.11,3.62
2019-02-01,58.29,Normal,57,2.35294117647058,High,2019,2,Transport,1.9,2.22,1.11,3.62
2019-02-01,58.29,Normal,57,2.35294117647058,High,2019,2,Manufacturing,-23.11,2.22,1.11,3.62
2019-03-01,60.33,Normal,-22,3.499742665980432,Medium,2019,3,Energy,26.31,6.36,4.87,7.98
2019-03-01,60.33,Normal,-22,3.499742665980432,Medium,2019,3,Airlines,5.2,6.36,4.87,7.98
2019-03-01,60.33,Normal,-22,3.499742665980432,Medium,2019,3,Transport,4.29,6.36,4.87,7.98
2019-03-01,60.33,Normal,-22,3.499742665980432,Medium,2019,3,Manufacturing,-2.11,6.36,4.87,7.98
