Date,Sector,Return
2018-01-01,Energy,10.27
2018-01-01,Airlines,1.41
2018-01-01,Transport,13.24
2018-01-01,Manufacturing,-12.77
2018-02-01,Energy,-2.35
2018-02-01,Airlines,9.41
2018-02-01,Transport,10.35
2018-02-01,Manufacturing,-4.11
2018-03-01,Energy,-4.08
2018-03-01,Airlines,2.88
2018-03-01,Transport,15.33
2018-03-01,Manufacturing,28.88
2018-04-01,Energy,5.94
2018-04-01,Airlines,0.9
2018-04-01,Transport,-4.64
2018-04-01,Manufacturing,-6.45
2018-05-01,Energy,13.76
2018-05-01,Airlines,2.6
2018-05-01,Transport,3.01
2018-05-01,Manufacturing,-13.88
2018-06-01,Energy,-29.12
2018-06-01,Airlines,16.18
2018-06-01,Transport,17.63
2018-06-01,Manufacturing,-8.73
2018-07-01,Energy,-3.63
2018-07-01,Airlines,17.0
2018-07-01,Transport,27.98
2018-07-01,Manufacturing,-6.88
2018-08-01,Energy,13.0
2018-08-01,Airlines,2.12
2018-08-01,Transport,-3.61
2018-08-01,Manufacturing,0.02
2018-09-01,Energy,0.97
2018-09-01,Airlines,13.2
2018-09-01,Transport,-13.25
2018-09-01,Manufacturing,-6.52
2018-10-01,Energy,-5.11
2018-10-01,Airlines,4.87
2018-10-01,Transport,11.66
2018-10-01,Manufacturing,-0.16
2018-11-01,Energy,15.65
2018-11-01,Airlines,8.05
2018-11-01,Transport,2.93
2018-11-01,Manufacturing,12.43
2018-12-01,Energy,-1.7
2018-12-01,Airlines,9.48
2018-12-01,Transport,-17.53
2018-12-01,Manufacturing,-0.22
2019-01-01,Energy,0.02
2019-01-01,Airlines,10.78
2019-01-01,Transport,-32.99
2019-01-01,Manufacturing,13.01
2019-02-01,Energy,16.98
2019-02-01,Airlines,15.29
2019-02-01,Transport,1.9
2019-02-01,Manufacturing,-23.11
2019-03-01,Energy,26.31
2019-03-01,Airlines,5.2
2019-03-01,Transport,4.29
2019-03-01,Manufacturing,-2.11
2019-04-01,Energy,-1.79
2019-04-01,Airlines,-1.71
2019-04-01,Transport,7.23
2019-04-01,Manufacturing,-5.92
2019-05-01,Energy,14.36
2019-05-01,Airlines,18.56
2019-05-01,Transport,8.51
2019-05-01,Manufacturing,10.39
2019-06-01,Energy,11.18
2019-06-01,Airlines,2.68
2019-06-01,Transport,25.93
2019-06-01,Manufacturing,15.48
2019-07-01,Energy,-5.21
2019-07-01,Airlines,14.2
2019-07-01,Transport,-2.81
2019-07-01,Manufacturing,23.96
2019-08-01,Energy,-14.51
2019-08-01,Airlines,-9.99
2019-08-01,Transport,2.29
2019-08-01,Manufacturing,-4.78
2019-09-01,Energy,4.57
2019-09-01,Airlines,-3.28
2019-09-01,Transport,1.73
2019-09-01,Manufacturing,8.33
2019-10-01,Energy,-21.57
2019-10-01,Airlines,4.72
2019-10-01,Transport,17.29
2019-10-01,Manufacturing,8.93
2019-11-01,Energy,20.03
2019-11-01,Airlines,15.2
2019-11-01,Transport,-2.9
2019-11-01,Manufacturing,4.04
2019-12-01,Energy,18.84
2019-12-01,Airlines,19.52
2019-12-01,Transport,11.53
2019-12-01,Manufacturing,17.65
2020-01-01,Energy,4.85
2020-01-01,Airlines,27.7
2020-01-01,Transport,30.05
2020-01-01,Manufacturing,0.18
2020-02-01,Energy,11.42
2020-02-01,Airlines,-11.18
2020-02-01,Transport,0.14
2020-02-01,Manufacturing,20.41
2020-03-01,Energy,16.31
2020-03-01,Airlines,10.61
2020-03-01,Transport,18.07
2020-03-01,Manufacturing,-12.21
2020-04-01,Energy,-9.1
2020-04-01,Airlines,16.99
2020-04-01,Transport,4.9
2020-04-01,Manufacturing,-4.97
2020-05-01,Energy,9.46
2020-05-01,Airlines,-9.03
2020-05-01,Transport,11.83
2020-05-01,Manufacturing,5.49
2020-06-01,Energy,-0.42
2020-06-01,Airlines,-7.76
2020-06-01,Transport,8.08
2020-06-01,Manufacturing,-30.01
2020-07-01,Energy,3.31
2020-07-01,Airlines,-2.81
2020-07-01,Transport,0.16
2020-07-01,Manufacturing,7.7
2020-08-01,Energy,4.99
2020-08-01,Airlines,15.31
2020-08-01,Transport,4.21
2020-08-01,Manufacturing,10.18
2020-09-01,Energy,-13.96
2020-09-01,Airlines,-0.22
2020-09-01,Transport,4.12
2020-09-01,Manufacturing,-19.07
2020-10-01,Energy,5.73
2020-10-01,Airlines,0.5
2020-10-01,Transport,-3.03
2020-10-01,Manufacturing,15.03
2020-11-01,Energy,23.86
2020-11-01,Airlines,-3.77
2020-11-01,Transport,25.01
2020-11-01,Manufacturing,10.74
2020-12-01,Energy,7.06
2020-12-01,Airlines,-2.48
2020-12-01,Transport,-4.92
2020-12-01,Manufacturing,-28.62
2021-01-01,Energy,-2.34
2021-01-01,Airlines,23.3
2021-01-01,Transport,5.91
2021-01-01,Manufacturing,-6.68
2021-02-01,Energy,9.33
2021-02-01,Airlines,17.1
2021-02-01,Transport,-3.21
2021-02-01,Manufacturing,-8.27
2021-03-01,Energy,18.2
2021-03-01,Airlines,7.7
2021-03-01,Transport,-11.62
2021-03-01,Manufacturing,13.49
2021-04-01,Energy,-2.38
2021-04-01,Airlines,24.22
2021-04-01,Transport,11.03
2021-04-01,Manufacturing,-3.03
2021-05-01,Energy,11.81
2021-05-01,Airlines,2.36
2021-05-01,Transport,1.6
2021-05-01,Manufacturing,28.15
2021-06-01,Energy,3.58
2021-06-01,Airlines,-0.29
2021-06-01,Transport,5.26
2021-06-01,Manufacturing,18.73
2021-07-01,Energy,9.32
2021-07-01,Airlines,8.29
2021-07-01,Transport,16.06
2021-07-01,Manufacturing,8.91
2021-08-01,Energy,-6.66
2021-08-01,Airlines,9.2
2021-08-01,Transport,10.99
2021-08-01,Manufacturing,15.34
2021-09-01,Energy,13.07
2021-09-01,Airlines,16.54
2021-09-01,Transport,-9.72
2021-09-01,Manufacturing,5.53
2021-10-01,Energy,13.83
2021-10-01,Airlines,-7.95
2021-10-01,Transport,-3.81
2021-10-01,Manufacturing,-11.01
2021-11-01,Energy,14.44
2021-11-01,Airlines,2.85
2021-11-01,Transport,6.41
2021-11-01,Manufacturing,7.31
2021-12-01,Energy,-12.89
2021-12-01,Airlines,5.54
2021-12-01,Transport,23.28
2021-12-01,Manufacturing,1.29
2022-01-01,Energy,9.07
2022-01-01,Airlines,11.09
2022-01-01,Transport,16.21
2022-01-01,Manufacturing,-3.25
2022-02-01,Energy,9.13
2022-02-01,Airlines,6.07
2022-02-01,Transport,9.27
2022-02-01,Manufacturing,4.78
2022-03-01,Energy,19.95
2022-03-01,Airlines,-24.87
2022-03-01,Transport,16.87
2022-03-01,Manufacturing,-12.75
2022-04-01,Energy,6.01
2022-04-01,Airlines,16.25
2022-04-01,Transport,6.85
2022-04-01,Manufacturing,4.27
2022-05-01,Energy,25.24
2022-05-01,Airlines,-2.21
2022-05-01,Transport,4.48
2022-05-01,Manufacturing,8.99
2022-06-01,Energy,18.43
2022-06-01,Airlines,3.15
2022-06-01,Transport,12.29
2022-06-01,Manufacturing,0.23
2022-07-01,Energy,11.71
2022-07-01,Airlines,8.81
2022-07-01,Transport,-4.58
2022-07-01,Manufacturing,13.13
2022-08-01,Energy,-28.88
2022-08-01,Airlines,-4.05
2022-08-01,Transport,-2.9
2022-08-01,Manufacturing,4.26
2022-09-01,Energy,11.14
2022-09-01,Airlines,3.83
2022-09-01,Transport,26.25
2022-09-01,Manufacturing,12.59
2022-10-01,Energy,-5.58
2022-10-01,Airlines,9.85
2022-10-01,Transport,32.88
2022-10-01,Manufacturing,11.58
2022-11-01,Energy,-11.47
2022-11-01,Airlines,4.78
2022-11-01,Transport,5.61
2022-11-01,Manufacturing,5.77
2022-12-01,Energy,3.85
2022-12-01,Airlines,13.12
2022-12-01,Transport,-1.02
2022-12-01,Manufacturing,10.99
2023-01-01,Energy,15.77
2023-01-01,Airlines,14.05
2023-01-01,Transport,-2.06
2023-01-01,Manufacturing,8.41
2023-02-01,Energy,-3.58
2023-02-01,Airlines,8.36
2023-02-01,Transport,30.46
2023-02-01,Manufacturing,10.42
2023-03-01,Energy,10.4
2023-03-01,Airlines,-9.54
2023-03-01,Transport,9.91
2023-03-01,Manufacturing,6.1
2023-04-01,Energy,26.84
2023-04-01,Airlines,0.39
2023-04-01,Transport,1.87
2023-04-01,Manufacturing,-17.75
2023-05-01,Energy,3.35
2023-05-01,Airlines,-5.46
2023-05-01,Transport,11.34
2023-05-01,Manufacturing,13.8
2023-06-01,Energy,1.55
2023-06-01,Airlines,2.18
2023-06-01,Transport,8.9
2023-06-01,Manufacturing,22.6
2023-07-01,Energy,2.69
2023-07-01,Airlines,-7.66
2023-07-01,Transport,10.04
2023-07-01,Manufacturing,19.28
2023-08-01,Energy,-14.16
2023-08-01,Airlines,19.66
2023-08-01,Transport,-12.2
2023-08-01,Manufacturing,19.56
2023-09-01,Energy,3.51
2023-09-01,Airlines,13.13
2023-09-01,Transport,-0.88
2023-09-01,Manufacturing,-0.42
2023-10-01,Energy,25.21
2023-10-01,Airlines,10.83
2023-10-01,Transport,7.08
2023-10-01,Manufacturing,8.26
2023-11-01,Energy,9.38
2023-11-01,Airlines,13.67
2023-11-01,Transport,12.21
2023-11-01,Manufacturing,11.81
2023-12-01,Energy,13.46
2023-12-01,Airlines,-4.26
2023-12-01,Transport,13.75
2023-12-01,Manufacturing,12.24
2024-01-01,Energy,9.46
2024-01-01,Airlines,18.41
2024-01-01,Transport,-1.26
2024-01-01,Manufacturing,-10.83
2024-02-01,Energy,-7.76
2024-02-01,Airlines,6.85
2024-02-01,Transport,16.27
2024-02-01,Manufacturing,-2.1
2024-03-01,Energy,5.7
2024-03-01,Airlines,-10.78
2024-03-01,Transport,24.16
2024-03-01,Manufacturing,-1.07
2024-04-01,Energy,0.37
2024-04-01,Airlines,15.67
2024-04-01,Transport,43.53
2024-04-01,Manufacturing,29.31
2024-05-01,Energy,14.77
2024-05-01,Airlines,-4.18
2024-05-01,Transport,-1.55
2024-05-01,Manufacturing,21.03
2024-06-01,Energy,15.02
2024-06-01,Airlines,3.46
2024-06-01,Transport,11.88
2024-06-01,Manufacturing,22.78
2024-07-01,Energy,12.38
2024-07-01,Airlines,5.29
2024-07-01,Transport,-10.89
2024-07-01,Manufacturing,-0.69
2024-08-01,Energy,5.21
2024-08-01,Airlines,14.57
2024-08-01,Transport,10.92
2024-08-01,Manufacturing,15.48
2024-09-01,Energy,4.03
2024-09-01,Airlines,8.26
2024-09-01,Transport,4.99
2024-09-01,Manufacturing,22.99
2024-10-01,Energy,-17.62
2024-10-01,Airlines,-0.59
2024-10-01,Transport,0.49
2024-10-01,Manufacturing,4.5
2024-11-01,Energy,23.64
2024-11-01,Airlines,26.52
2024-11-01,Transport,26.71
2024-11-01,Manufacturing,12.88
2024-12-01,Energy,11.06
2024-12-01,Airlines,12.05
2024-12-01,Transport,7.02
2024-12-01,Manufacturing,-7.93
